airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url,rejection_reason,traffic_source_url
Rostock-Laage Airport,Rostock-Laage Airport,RLG,ETNL,ETNL,DE,Germany,DE-MV,Laage,Laage,53.918201,12.2783,medium_airport,yes,60997,2022,medium_airport,medium,40,medium,https://rostock-airport.de/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.adv.aero/wp-content/uploads/2015/11/12.2022-ADV-Monatsstatistik.pdf,below_5m_passengers,https://www.adv.aero/wp-content/uploads/2015/11/12.2022-ADV-Monatsstatistik.pdf
Bayannur Tianjitai Airport,Bayannur Tianjitai Airport,RLK,ZBYZ,ZBYZ,CN,China,CN-15,Bayannur,Bayannur,40.926358,107.74093,medium_airport,yes,83130,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,below_5m_passengers,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Roma Airport,Roma Airport,RMA,YROM,YROM,AU,Australia,AU-QLD,Roma,Roma,-26.545000076300003,148.774993896,medium_airport,yes,47916,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.bitre.gov.au/sites/default/files/documents/webairport_cy_1985-2022.xlsx,below_5m_passengers,https://www.bitre.gov.au/sites/default/files/documents/webairport_cy_1985-2022.xlsx
Marsa Alam International Airport,Marsa Alam International Airport,RMF,HEMA,HEMA,EG,Egypt,EG-BA,Marsa Alam,Marsa Alam,25.555548,34.59245,large_airport,yes,2817308,2025,medium_airport,medium,45,medium,https://www.marsaalam-airport.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://fracs.aero/2026/04/28/air-transport-data-bulletin-april-2026/,below_5m_passengers,https://fracs.aero/2026/04/28/air-transport-data-bulletin-april-2026/
Federico Fellini International Airport,Federico Fellini International Airport,RMI,LIPR,LIPR,IT,Italy,IT-45,Rimini (RN),Rimini (RN),44.020024,12.612198,large_airport,yes,214851,2022,medium_airport,medium,45,medium,http://www.riminiairport.com/english/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://assaeroporti.com/wp-content/plugins/multipage_xls_reader/excel_file/2022_12.xls,below_5m_passengers,https://assaeroporti.com/wp-content/plugins/multipage_xls_reader/excel_file/2022_12.xls
Colombo Ratmalana International Airport,Colombo Ratmalana International Airport,RML,VCCC,VCCC,LK,Sri Lanka,LK-1,Colombo,Colombo,6.821638,79.885859,large_airport,yes,,,unknown,unrated,,unknown,https://www.airport.lk/rma/index,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
Chişinău International Airport,Chişinău International Airport,RMO,LUKK,LUKK,MD,Moldova,MD-CU,Chişinău,Chişinău,46.92774,28.931704,large_airport,yes,2995530,2019,medium_airport,medium,45,medium,http://www.airport.md/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.caa.md/rom/statistics/,below_5m_passengers,https://www.caa.md/rom/statistics/
Taichung International Airport / Ching Chuang Kang Air Base,Taichung International Airport / Ching Chuang Kang Air Base,RMQ,RCMQ,RCMQ,TW,Taiwan,TW-TXG,Taichung (Qingshui),Taichung (Qingshui),24.2647,120.621002,large_airport,yes,581767,2021,medium_airport,medium,45,medium,http://www.tca.gov.tw/English/Introduction.htm,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.caa.gov.tw/FileAtt.ashx?lang=1&id=27553,below_5m_passengers,https://www.caa.gov.tw/FileAtt.ashx?lang=1&id=27553
Region of Murcia International Airport,Region of Murcia International Airport,RMU,LEMI,LEMI,ES,Spain,ES-MC,Corvera,Corvera,37.802852,-1.124884,large_airport,yes,838940,2022,medium_airport,medium,45,medium,https://www.aena.es/en/internacional-region-de-murcia.html,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576861734447&ssbinary=true,below_5m_passengers,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576861734447&ssbinary=true
Tobolsk Remezov Airport,Tobolsk Remezov Airport,RMZ,,USTJ,RU,Russia,RU-TYU,Tobolsk,Tobolsk,58.059712,68.347997,medium_airport,yes,,,unknown,unrated,,unknown,https://rmz.aero/,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
