airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,source_identity
Rafsanjan Airport,Rafsanjan Airport,RJN,OIKR,OIKR,IR,Iran,IR-08,Rafsanjan,Rafsanjan,30.298345,56.048979,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Ras Al Khaimah International Airport,Ras Al Khaimah International Airport,RKT,OMRK,OMRK,AE,United Arab Emirates,AE-RK,Ras Al Khaimah,Ras Al Khaimah,25.613501,55.938801,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Colombo Ratmalana International Airport,Colombo Ratmalana International Airport,RML,VCCC,VCCC,LK,Sri Lanka,LK-1,Colombo,Colombo,6.821638,79.885859,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tobolsk Remezov Airport,Tobolsk Remezov Airport,RMZ,,USTJ,RU,Russia,RU-TYU,Tobolsk,Tobolsk,58.059712,68.347997,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sir Charles Gaetan Duval Airport,Sir Charles Gaetan Duval Airport,RRG,FIMR,FIMR,MU,Mauritius,MU-RO,Port Mathurin,Port Mathurin,-19.756696,63.359326,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Rock Sound International Airport,Rock Sound International Airport,RSD,MYER,MYER,BS,Bahamas,BS-SE,Rock Sound,Rock Sound,24.89165,-76.177602,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Red Sea International Airport,Red Sea International Airport,RSI,OERS,RSI,SA,Saudi Arabia,SA-07,Hanak,Hanak,25.627975,37.088914,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Arua Airport,Arua Airport,RUA,HUAR,HUAR,UG,Uganda,UG-N,Arua,Arua,3.049152,30.911714,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Pres. Gral. Óscar D. Gestido Binational Airport,Pres. Gral. Óscar D. Gestido Binational Airport,RVY,SURV,SURV,UY,Uruguay,UY-RV,Rivera/Santana do Livramento,Rivera/Santana do Livramento,-30.9746,-55.4762,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Staroselye Airport,Staroselye Airport,RYB,UUBK,UUBK,RU,Russia,RU-YAR,Rybinsk,Rybinsk,58.104198,38.929401,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Shaikh Zaid Airport,Shaikh Zaid Airport,RYK,OPRK,OPRK,PK,Pakistan,PK-PB,Rahim Yar Khan,Rahim Yar Khan,28.383899688720703,70.27960205078125,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Ramsar Airport,Ramsar Airport,RZR,OINR,OINR,IR,Iran,IR-02,Ramsar,Ramsar,36.90701,50.687316,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sanaa International Airport,Sanaa International Airport,SAH,OYSN,OYSN,YE,Yemen,YE-SA,Sanaa,Sanaa,15.4763,44.2197,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Siem Reap-Angkor International Airport,Siem Reap-Angkor International Airport,SAI,VDSA,VDSA,KH,Cambodia,KH-17,Siem Reap,Siem Reap,13.36974,104.223831,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
San Andros Airport,San Andros Airport,SAQ,MYAN,MYAN,BS,Bahamas,BS-NS,Andros Island,Andros Island,25.053800582885742,-78.04900360107422,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Socotra Airport,Socotra Airport,SCT,OYSQ,OYSQ,YE,Yemen,YE-SU,Mori,Mori,12.632093,53.906173,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Antonio Maceo International Airport,Antonio Maceo International Airport,SCU,MUCU,MUCU,CU,Cuba,CU-13,Santiago,Santiago,19.97474,-75.835504,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Lubango Mukanka International Airport,Lubango Mukanka International Airport,SDD,FNUB,FNUB,AO,Angola,AO-HUI,Lubango,Lubango,-14.924839,13.576653,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sanandaj Airport,Sanandaj Airport,SDG,OICS,OICS,IR,Iran,IR-12,,,35.24589920043945,47.00920104980469,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sabha Airport,Sabha Airport,SEB,HLLS,HLLS,LY,Libya,LY-SB,Sabha,Sabha,26.992452,14.466162,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sfax Thyna International Airport,Sfax Thyna International Airport,SFA,DTTX,DTTX,TN,Tunisia,TN-61,Sfax,Sfax,34.717999,10.691,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Kangerlussuaq International Airport,Kangerlussuaq International Airport,SFJ,BGSF,BGSF,GL,Greenland,GL-QA,Kangerlussuaq,Kangerlussuaq,67.010446,-50.715294,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
King Mswati III International Airport,King Mswati III International Airport,SHO,FDSK,FDSK,SZ,Eswatini,SZ-LU,Mpaka,Mpaka,-26.358611,31.716944,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sishen Airport,Sishen Airport,SIS,FASS,FASS,ZA,South Africa,ZA-NC,Sishen,Sishen,-27.6486,22.9993,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Robert L. Bradshaw International Airport,Robert L. Bradshaw International Airport,SKB,TKPK,TKPK,KN,Saint Kitts and Nevis,KN-U-A,Basseterre,Basseterre,17.310845,-62.719117,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Sialkot International Airport,Sialkot International Airport,SKT,OPST,OPST,PK,Pakistan,PK-PB,Sialkot,Sialkot,32.535941,74.364623,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Begum Nusrat Bhutto International Airport Sukkur,Begum Nusrat Bhutto International Airport Sukkur,SKZ,OPSK,OPSK,PK,Pakistan,PK-SD,Sukkur,Sukkur,27.722,68.791702,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
George F. L. Charles Airport,George F. L. Charles Airport,SLU,TLPC,TLPC,LC,Saint Lucia,LC-02,Castries,Castries,14.0202,-60.992901,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Stella Maris Airport,Stella Maris Airport,SML,MYLS,MYLS,BS,Bahamas,BS-LI,Stella Maris,Stella Maris,23.582317,-75.268621,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Smara Airport,Smara Airport,SMW,GMMA,GMMA,EH,Western Sahara (disputed territory),EH-U-A,Smara,Smara,26.731987,-11.683655,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Snake Bay Airport,Snake Bay Airport,SNB,,YSNB,AU,Australia,AU-NT,Milikapiti,Milikapiti,-11.417674,130.648481,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Abel Santamaria International Airport,Abel Santamaria International Airport,SNU,MUSC,MUSC,CU,Cuba,CU-05,Santa Clara,Santa Clara,22.492215,-79.943119,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
