airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url
Jenderal Ahmad Yani Airport,Jenderal Ahmad Yani Airport,SRG,WAHS,WARS,ID,Indonesia,ID-JT,Semarang,Semarang,-6.970732,110.373244,large_airport,yes,5669282,2018,medium_airport,medium,45,medium,https://www.ahmadyani-airport.com/id,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.routesonline.com/news/29/breaking-news/283239/asia-dominates-list-of-fastest-growing-airports/
Kagoshima Airport,Kagoshima Airport,KOJ,RJFK,RJFK,JP,Japan,JP-46,Kagoshima,Kagoshima,31.8034,130.718994,large_airport,yes,5638677,2024,medium_airport,medium,45,medium,https://www.koj-ab.co.jp/en/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.mlit.go.jp/koku/15_bf_000185.html
Dalaman International Airport,Dalaman International Airport,DLM,LTBS,LTBS,TR,Turkey,TR-48,Dalaman,Dalaman,36.7131,28.7925,large_airport,yes,5637067,2024,medium_airport,medium,45,medium,https://www.dalamanairport.aero/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://web.archive.org/web/20250929005908/https://www.dhmi.gov.tr/Lists/Istatislikler_EN/Attachments/236/All.xlsx
Tenerife Norte-Ciudad de La Laguna Airport,Tenerife Norte-Ciudad de La Laguna Airport,TFN,GCXO,GCXO,ES,Spain,ES-CN,Tenerife,Tenerife,28.482752,-16.341707,large_airport,yes,5566243,2022,medium_airport,medium,45,medium,https://www.aena.es/en/tenerife-norte-ciudad-de-la-laguna.html,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576861734447&ssbinary=true
Mactan Cebu International Airport,Mactan Cebu International Airport,CEB,RPVM,RPVM,PH,Philippines,PH-CEB,Cebu City/Lapu-Lapu City,Cebu City/Lapu-Lapu City,10.309261,123.97974,large_airport,yes,5560258,2022,medium_airport,medium,45,medium,http://www.mactan-cebuairport.com.ph/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://caap.gov.ph/wp-content/uploads/2023/02/AirPassCarAnnual2022-as-of-Feb-2023.pdf
Taiyuan Wusu International Airport,Taiyuan Wusu International Airport,TYN,ZBYN,ZBYN,CN,China,CN-14,Taiyuan,Taiyuan,37.746899,112.627998,large_airport,yes,5526997,2022,medium_airport,medium,45,medium,http://lt.sxairport.org.cn/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Çukurova International Airport,Çukurova International Airport,COV,LTDB,LTDB,TR,Turkey,TR-33,Tarsus,Tarsus,36.891478,35.071235,large_airport,yes,5434070,2025,medium_airport,medium,45,medium,https://cukurovaairport.aero/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://dhmi.gov.tr/Lists/Istatislikler_EN/Attachments/262/PASSENGER.pdf
Riga International Airport,Riga International Airport,RIX,EVRA,EVRA,LV,Latvia,LV-062,Riga,Riga,56.920752,23.970711,large_airport,yes,5380779,2022,medium_airport,medium,45,medium,http://www.riga-airport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.riga-airport.com/en/media/1318/download
Kazan International Airport,Kazan International Airport,KZN,UWKD,UWKD,RU,Russia,RU-TA,Kazan,Kazan,55.606201,49.278702,large_airport,yes,5380000,2025,medium_airport,medium,45,medium,http://www.kazan.aero/en/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://expert.ru/promishlennost/vozdushnyy-shelkovyy-put/
Hannover Airport,Hannover Airport,HAJ,EDDV,EDDV,DE,Germany,DE-NI,Hannover,Hannover,52.461102,9.68508,large_airport,yes,5330534,2025,medium_airport,medium,45,medium,https://www.hannover-airport.de,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.adv.aero/wp-content/uploads/2015/11/12.2025-ADV-Monatsstatistik.pdf
Charleston International Airport,Charleston International Airport,CHS,KCHS,KCHS,US,United States,US-SC,Charleston,Charleston,32.896159,-80.038151,large_airport,yes,5322147,2022,medium_airport,medium,45,medium,https://www.iflychs.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q1163183
Albuquerque International Sunport,Albuquerque International Sunport,ABQ,KABQ,KABQ,US,United States,US-NM,Albuquerque,Albuquerque,35.039976,-106.608925,large_airport,yes,5310976,2023,medium_airport,medium,45,medium,http://www.abqsunport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q1578972
